team_canonical,issue,match_method,name_similarity,player_name_current,player_name_fifa,fifa_player_name_raw,club_current,club_fifa,position_current,position_fifa,squad_number_fifa,dob_fifa,height_cm_fifa,club_raw_match,club_norm_match,club_match,position_match
Norway,right_only,unmatched,,,Thelo Aasgaard,AASGAARD Thelo,,Rangers FC (SCO),,Midfielder,19,02/05/2002,188,,,,
Norway,right_only,unmatched,,,Torbjorn Heggem,HEGGEM Torbjorn,,Bologna FC (ITA),,Defender,17,12/01/1999,192,,,,
Paraguay,right_only,unmatched,,,Alexandro Maidana,MAIDANA Alexandro,,CA Talleres (ARG),,Defender,26,26/07/2005,173,,,,
Paraguay,right_only,unmatched,,,Braian Ojeda,OJEDA Braian,,Orlando City SC (USA),,Midfielder,20,27/06/2000,173,,,,
Paraguay,right_only,unmatched,,,Gabriel Avalos,AVALOS Gabriel,,CA Independiente (ARG),,Forward,21,12/10/1990,185,,,,
Paraguay,right_only,unmatched,,,Gaston Olveira,OLVEIRA Gaston,,Club Olimpia (PAR),,Goalkeeper,22,21/04/1993,191,,,,
Paraguay,right_only,unmatched,,,Gustavo Caballero,CABALLERO Gustavo,,Portsmouth FC (ENG),,Midfielder,24,21/09/2001,189,,,,
Paraguay,right_only,unmatched,,,Jose Canale,CANALE Jose,,CA Lanús (ARG),,Defender,13,20/07/1996,192,,,,
Paraguay,right_only,unmatched,,,Mauricio,MAURICIO,,SE Palmeiras (BRA),,Midfielder,11,22/06/2001,175,,,,
Paraguay,right_only,unmatched,,,Orlando Gill,GILL Orlando,,CA San Lorenzo (ARG),,Goalkeeper,12,11/06/2000,190,,,,
Portugal,right_only,unmatched,,,Francisco Trincao,FRANCISCO TRINCAO,,Sporting CP (POR),,Forward,16,29/12/1999,184,,,,
Portugal,right_only,unmatched,,,Goncalo Guedes,GONCALO GUEDES,,Real Sociedad (ESP),,Forward,19,29/11/1996,179,,,,
Portugal,right_only,unmatched,,,Nelson Semedo,NELSON SEMEDO,,Fenerbahçe SK (TUR),,Defender,2,16/11/1993,179,,,,
Portugal,right_only,unmatched,,,Renato Veiga,RENATO VEIGA,,Villarreal CF (ESP),,Defender,13,29/07/2003,188,,,,
Portugal,right_only,unmatched,,,Samu Costa,SAMU COSTA,,RCD Mallorca (ESP),,Defender,24,27/11/2000,185,,,,
Portugal,right_only,unmatched,,,Tomas Araujo,TOMAS ARAUJO,,SL Benfica (POR),,Defender,4,16/05/2002,187,,,,
Qatar,right_only,unmatched,,,Ahmed Alganehi,AHMED ALGANEHI,,Al Gharafa SC (QAT),,Midfielder,17,22/09/2000,175,,,,
Qatar,right_only,unmatched,,,Alhashmi Alhussein,ALHASHMI ALHUSSEIN,,Al Arabi SC (QAT),,Defender,25,15/08/2003,182,,,,
Qatar,right_only,unmatched,,,Assim Madibo,ASSIM MADIBO,,Al Wakrah SC (QAT),,Midfielder,23,22/10/1996,168,,,,
Qatar,right_only,unmatched,,,Ayoub Aloui,AYOUB ALOUI,,Al Gharafa SC (QAT),,Defender,13,11/03/2005,181,,,,
Qatar,right_only,unmatched,,,Edmilson Junior,EDMILSON JUNIOR,,Al Duhail SC (QAT),,Forward,8,19/08/1994,180,,,,
Qatar,right_only,unmatched,,,Hassan Alhaydos,HASSAN ALHAYDOS,,Al Sadd SC (QAT),,Forward,10,11/12/1990,174,,,,
Qatar,right_only,unmatched,,,Issa Laye,ISSA LAYE,,Al Arabi SC (QAT),,Defender,4,22/12/1997,178,,,,
Qatar,right_only,unmatched,,,Karim Boudiaf,KARIM BOUDIAF,,Al Duhail SC (QAT),,Midfielder,12,16/09/1990,190,,,,
Qatar,right_only,unmatched,,,Mahmoud Abunada,MAHMOUD ABUNADA,,Al Rayyan SC (QAT),,Goalkeeper,1,05/02/2000,185,,,,
Qatar,right_only,unmatched,,,Mohamed Manai,MOHAMED MANAI,,Al Shamal SC (QAT),,Forward,26,25/10/2002,180,,,,
Qatar,right_only,unmatched,,,Mohammed Muntari,MOHAMMED MUNTARI,,Al Gharafa SC (QAT),,Forward,9,20/12/1993,192,,,,
Qatar,right_only,unmatched,,,Tahsin Jamshid,TAHSIN JAMSHID,,Al Duhail SC (QAT),,Forward,24,16/06/2006,166,,,,
Saudi Arabia,right_only,unmatched,,,Ala Alhajji,ALA ALHAJJI,,Neom SC (KSA),,Midfielder,18,03/12/1995,178,,,,
Saudi Arabia,right_only,unmatched,,,Ali Majrashi,ALI MAJRASHI,,Al Ahli FC (KSA),,Defender,2,02/10/1999,169,,,,
Saudi Arabia,right_only,unmatched,,,Jehad Thikri,JEHAD THIKRI,,Al Qadsiah FC (KSA),,Defender,25,21/07/2001,184,,,,
Saudi Arabia,right_only,unmatched,,,Khalid Alghannam,KHALID ALGHANNAM,,Al Ettifaq FC (KSA),,Forward,17,08/11/2000,171,,,,
Saudi Arabia,right_only,unmatched,,,Mohammed Abu Alshamat,MOHAMMED ABU ALSHAMAT,,Al Qadsiah FC (KSA),,Defender,26,11/08/2002,170,,,,
Saudi Arabia,right_only,unmatched,,,Moteb Alharbi,MOTEB ALHARBI,,Al Hilal SC (KSA),,Defender,24,20/02/2000,177,,,,
Saudi Arabia,right_only,unmatched,,,Nawaf Alaqidi,NAWAF ALAQIDI,,Al Nassr FC (KSA),,Goalkeeper,1,10/05/2000,186,,,,
Saudi Arabia,right_only,unmatched,,,Nawaf Bu Washl,NAWAF BU WASHL,,Al Nassr FC (KSA),,Defender,13,16/09/1999,173,,,,
Saudi Arabia,right_only,unmatched,,,Sultan Mandash,SULTAN MANDASH,,Al Hilal SC (KSA),,Forward,20,17/10/1994,172,,,,
Saudi Arabia,right_only,unmatched,,,Ziyad Aljohani,ZIYAD ALJOHANI,,Al Ahli FC (KSA),,Midfielder,16,11/11/2001,180,,,,
Scotland,right_only,unmatched,,,Tyler Fletcher,FLETCHER Tyler,,Manchester United FC (ENG),,Midfielder,8,19/03/2007,183,,,,
Senegal,right_only,unmatched,,,Antoine Mendy,MENDY Antoine,,OGC Nice (FRA),,Defender,24,27/05/2004,187,,,,
Senegal,right_only,unmatched,,,Assane Diao,DIAO Assane,,Como (ITA),,Forward,7,07/09/2005,185,,,,
Senegal,right_only,unmatched,,,Bamba Dieng,DIENG Bamba,,FC Lorient (FRA),,Forward,9,23/03/2000,178,,,,
Senegal,right_only,unmatched,,,Bara Sapoko Ndiaye,NDIAYE Bara Sapoko,,FC Bayern München (GER),,Midfielder,22,31/12/2007,180,,,,
Senegal,right_only,unmatched,,,Cherif Ndiaye,NDIAYE Cherif,,Samsunspor (TUR),,Forward,12,23/01/1996,190,,,,
Senegal,right_only,unmatched,,,Ibrahim Mbaye,MBAYE Ibrahim,,Paris Saint-Germain (FRA),,Forward,20,24/01/2008,175,,,,
Senegal,right_only,unmatched,,,Krepin Diatta,DIATTA Krepin,,AS Monaco (FRA),,Defender,15,25/02/1999,173,,,,
Senegal,right_only,unmatched,,,Mamadou Sarr,SARR Mamadou,,Chelsea FC (ENG),,Defender,2,29/08/2005,194,,,,
Senegal,right_only,unmatched,,,Pathe Ciss,CISS Pathe,,Rayo Vallecano (ESP),,Midfielder,6,16/03/1994,186,,,,
Senegal,right_only,unmatched,,,Yehvann Diouf,DIOUF Yehvann,,OGC Nice (FRA),,Goalkeeper,1,16/11/1999,188,,,,
Senegal,right_only,unmatched,,,el Hadji Malick Diouf,DIOUF El Hadji Malick,,West Ham United FC (ENG),,Defender,25,29/12/2004,177,,,,
South Africa,right_only,unmatched,,,Bradley Cross,CROSS Bradley,,Kaizer Chiefs FC (RSA),,Defender,26,30/01/2001,175,,,,
South Africa,right_only,unmatched,,,Ime Okon,OKON Ime,,Hannover 96 (GER),,Defender,21,20/02/2004,187,,,,
South Africa,right_only,unmatched,,,Kamogelo Sebelebele,SEBELEBELE Kamogelo,,Orlando Pirates FC (RSA),,Forward,25,21/07/2002,166,,,,
South Africa,right_only,unmatched,,,Khulumani Ndamane,NDAMANE Khulumani,,Mamelodi Sundowns FC (RSA),,Defender,3,05/02/2004,183,,,,
South Africa,right_only,unmatched,,,Mbekezeli Mbokazi,MBOKAZI Mbekezeli,,Chicago Fire FC (USA),,Defender,14,19/09/2005,177,,,,
South Africa,right_only,unmatched,,,Olwethu Makhanya,MAKHANYA Olwethu,,Philadelphia Union (USA),,Defender,24,30/04/2004,185,,,,
South Africa,right_only,unmatched,,,Relebohile Mofokeng,MOFOKENG Relebohile,,Orlando Pirates FC (RSA),,Forward,10,23/10/2004,168,,,,
South Africa,right_only,unmatched,,,Samukele Kabini,KABINI Samukele,,Molde FK (NOR),,Defender,18,15/03/2004,179,,,,
South Africa,right_only,unmatched,,,Sipho Chaine,CHAINE Sipho,,Orlando Pirates FC (RSA),,Goalkeeper,16,14/12/1996,186,,,,
South Africa,right_only,unmatched,,,Thabang Matuludi,MATULUDI Thabang,,Polokwane City FC (RSA),,Defender,2,14/01/1999,189,,,,
South Africa,right_only,unmatched,,,Thalente Mbatha,MBATHA Thalente,,Orlando Pirates FC (RSA),,Midfielder,5,06/03/2000,179,,,,
South Africa,right_only,unmatched,,,Tshepang Moremi,MOREMI Tshepang,,Orlando Pirates FC (RSA),,Forward,8,02/10/2000,169,,,,
South Korea,right_only,unmatched,,,Donggyeong Lee,LEE Donggyeong,,Ulsan HD (KOR),,Midfielder,26,20/09/1997,175,,,,
South Korea,right_only,unmatched,,,Gihyuk Lee,LEE Gihyuk,,Gangwon FC (KOR),,Midfielder,3,07/07/2000,184,,,,
South Korea,right_only,unmatched,,,Hanbeom Lee,LEE Hanbeom,,FC Midtjylland (DEN),,Defender,2,17/06/2002,188,,,,
South Korea,right_only,unmatched,,,Hyunjun Yang,YANG Hyunjun,,Celtic FC (SCO),,Midfielder,20,25/05/2002,179,,,,
South Korea,right_only,unmatched,,,Jens Castrop,CASTROP Jens,,Borussia Mönchengladbach (GER),,Defender,23,29/07/2003,178,,,,
South Korea,right_only,unmatched,,,Jinseob Park,PARK Jinseob,,Zhejiang FC (CHN),,Defender,16,23/10/1995,183,,,,
South Korea,right_only,unmatched,,,Jisung Eom,EOM Jisung,,Swansea City AFC (WAL),,Midfielder,25,09/05/2002,177,,,,
South Korea,right_only,unmatched,,,Taehyeon Kim,KIM Taehyeon,,Kashima Antlers (JPN),,Defender,5,17/09/2000,186,,,,
South Korea,right_only,unmatched,,,Taeseok Lee,LEE Taeseok,,FK Austria Wien (AUT),,Defender,13,28/07/2002,174,,,,
South Korea,right_only,unmatched,,,Wije Cho,CHO Wije,,Jeonbuk Hyundai Motors FC (KOR),,Defender,14,25/08/2001,190,,,,
Spain,right_only,unmatched,,,Joan Garcia,GARCIA Joan,,FC Barcelona (ESP),,Goalkeeper,13,04/05/2001,194,,,,
Sweden,right_only,unmatched,,,Herman Johansson,JOHANSSON Herman,,FC Dallas (USA),,Defender,6,16/10/1997,190,,,,
Switzerland,right_only,unmatched,,,Aurele Amenda,AMENDA Aurele,,Eintracht Frankfurt (GER),,Defender,24,31/07/2003,194,,,,
Switzerland,right_only,unmatched,,,Cedric Itten,ITTEN Cedric,,Fortuna Düsseldorf (GER),,Forward,26,27/12/1996,190,,,,
Switzerland,right_only,unmatched,,,Christian Fassnacht,FASSNACHT Christian,,BSC Young Boys (SUI),,Forward,16,11/11/1993,185,,,,
Switzerland,right_only,unmatched,,,Eray Coemert,COEMERT Eray,,Valencia CF (ESP),,Defender,18,04/02/1998,183,,,,
Switzerland,right_only,unmatched,,,Johan Manzambi,MANZAMBI Johan,,SC Freiburg (GER),,Midfielder,9,14/10/2005,182,,,,
Switzerland,right_only,unmatched,,,Luca Jaquez,JAQUEZ Luca,,VfB Stuttgart (GER),,Defender,25,02/06/2003,187,,,,
Switzerland,right_only,unmatched,,,Marvin Keller,KELLER Marvin,,BSC Young Boys (SUI),,Goalkeeper,21,03/07/2002,189,,,,
Switzerland,right_only,unmatched,,,Miro Muheim,MUHEIM Miro,,Hamburger SV (GER),,Defender,2,24/03/1998,182,,,,
Switzerland,right_only,unmatched,,,Yvon Mvogo,MVOGO Yvon,,FC Lorient (FRA),,Goalkeeper,12,06/06/1994,190,,,,
Tunisia,right_only,unmatched,,,Adam Arous,AROUS Adam,,Kasımpaşa SK (TUR),,Defender,5,17/07/2004,188,,,,
Tunisia,right_only,unmatched,,,Anis Slimane,SLIMANE Anis,,Norwich City FC (ENG),,Midfielder,25,16/03/2001,188,,,,
Tunisia,right_only,unmatched,,,Firas Chaouat,CHAOUAT Firas,,Club Africain (TUN),,Forward,19,08/05/1996,185,,,,
Tunisia,right_only,unmatched,,,Hazem Mastouri,MASTOURI Hazem,,FC Dynamo Makhachkala (RUS),,Forward,9,18/06/1997,191,,,,
Tunisia,right_only,unmatched,,,Ismael Gharbi,GHARBI Ismael,,FC Augsburg (GER),,Midfielder,11,10/04/2004,180,,,,
Tunisia,right_only,unmatched,,,Khalil Ayari,AYARI Khalil,,Paris Saint-Germain (FRA),,Midfielder,14,02/02/2005,174,,,,
Tunisia,right_only,unmatched,,,Mohamed Amine Ben Hmida,BEN HMIDA Mohamed Amine,,Espérance De Tunisie (TUN),,Defender,21,15/12/1995,181,,,,
Tunisia,right_only,unmatched,,,Mohamed Hadj Mahmoud,HADJ MAHMOUD Mohamed,,FC Lugano (SUI),,Midfielder,15,24/04/2000,179,,,,
Tunisia,right_only,unmatched,,,Mortadha Ben Ouanes,BEN OUANES Mortadha,,Kasımpaşa SK (TUR),,Defender,12,02/07/1994,188,,,,
Tunisia,right_only,unmatched,,,Mouhib Chamakh,CHAMAKH Mouhib,,Club Africain (TUN),,Goalkeeper,1,25/08/2001,189,,,,
Tunisia,right_only,unmatched,,,Moutaz Neffati,NEFFATI Moutaz,,IFK Norrköping FK (SWE),,Defender,23,04/09/2004,182,,,,
Tunisia,right_only,unmatched,,,Omar Rekik,REKIK Omar,,NK Maribor (SVN),,Defender,4,20/12/2001,188,,,,
Tunisia,right_only,unmatched,,,Raed Chikhaoui,CHIKHAOUI Raed,,US Monastir (TUN),,Defender,24,09/06/2004,191,,,,
Tunisia,right_only,unmatched,,,Rani Khedira,KHEDIRA Rani,,1. FC Union Berlin (GER),,Midfielder,13,27/01/1994,188,,,,
Tunisia,right_only,unmatched,,,Rayan Elloumi,ELLOUMI Rayan,,Vancouver Whitecaps FC (CAN),,Forward,18,17/09/2007,180,,,,
Tunisia,right_only,unmatched,,,Sabri Ben Hessen,BEN HESSEN Sabri,,Étoile Du Sahel (TUN),,Goalkeeper,22,13/06/1996,189,,,,
Tunisia,right_only,unmatched,,,Sebastian Tounekti,TOUNEKTI Sebastian,,Celtic FC (SCO),,Midfielder,26,13/07/2002,182,,,,
Turkey,right_only,unmatched,,,Deniz Gul,GUL Deniz,,FC Porto (POR),,Forward,9,02/07/2004,192,,,,
Turkey,right_only,unmatched,,,Eren Elmali,ELMALI Eren,,Galatasaray SK (TUR),,Defender,13,07/07/2000,181,,,,
Turkey,right_only,unmatched,,,Oguz Aydin,AYDIN Oguz,,Fenerbahçe SK (TUR),,Forward,24,27/10/2000,183,,,,
Turkey,right_only,unmatched,,,Ozan Kabak,KABAK Ozan,,TSG Hoffenheim (GER),,Defender,15,25/03/2000,187,,,,
Turkey,right_only,unmatched,,,Samet Akaydin,AKAYDIN Samet,,Çaykur Rizespor (TUR),,Defender,25,13/03/1994,190,,,,
United States,right_only,unmatched,,,Alex Freeman,FREEMAN Alex,,Villarreal CF (ESP),,Defender,16,09/08/2004,188,,,,
United States,right_only,unmatched,,,Alex Zendejas,ZENDEJAS Alex,,Club América (MEX),,Forward,26,07/02/1998,167,,,,
United States,right_only,unmatched,,,Auston Trusty,TRUSTY Auston,,Celtic FC (SCO),,Defender,6,12/08/1998,190,,,,
United States,right_only,unmatched,,,Chris Brady,BRADY Chris,,Chicago Fire FC (USA),,Goalkeeper,25,03/03/2004,193,,,,
United States,right_only,unmatched,,,Cristian Roldan,ROLDAN Cristian,,Seattle Sounders FC (USA),,Midfielder,15,03/06/1995,173,,,,
United States,right_only,unmatched,,,Matt Freese,FREESE Matt,,New York City FC (USA),,Goalkeeper,24,02/09/1998,198,,,,
United States,right_only,unmatched,,,Max Arfsten,ARFSTEN Max,,Columbus Crew (USA),,Defender,18,19/04/2001,185,,,,
United States,right_only,unmatched,,,Sebastian Berhalter,BERHALTER Sebastian,,Vancouver Whitecaps FC (CAN),,Midfielder,14,10/05/2001,175,,,,
Uzbekistan,right_only,unmatched,,,Akmal Mozgovoy,MOZGOVOY Akmal,,Pakhtakor Tashkent FK (UZB),,Midfielder,6,02/04/1999,180,,,,
Uzbekistan,right_only,unmatched,,,Avazbek Ulmasaliyev,ULMASALIYEV Avazbek,,OKMK FK (UZB),,Defender,25,27/03/2000,187,,,,
Uzbekistan,right_only,unmatched,,,Azizjon Ganiev,GANIEV Azizjon,,Al Bataeh Club (UAE),,Midfielder,19,22/02/1998,178,,,,
Uzbekistan,right_only,unmatched,,,Behruzjon Karimov,KARIMOV Behruzjon,,Surkhon FK (UZB),,Defender,24,07/08/2007,172,,,,
Uzbekistan,right_only,unmatched,,,Dostonbek Khamdamov,KHAMDAMOV Dostonbek,,Pakhtakor Tashkent FK (UZB),,Midfielder,17,24/07/1996,178,,,,
Uzbekistan,right_only,unmatched,,,Jakhongir Urozov,UROZOV Jakhongir,,FK Dinamo Samarkand (UZB),,Defender,26,18/01/2004,190,,,,
Uzbekistan,right_only,unmatched,,,Khojiakbar Alijonov,ALIJONOV Khojiakbar,,Pakhtakor Tashkent FK (UZB),,Defender,3,19/04/1997,180,,,,
Uzbekistan,right_only,unmatched,,,Sherzod Esanov,ESANOV Sherzod,,FK Buxoro (UZB),,Midfielder,23,01/02/2003,190,,,,
